date,price_amzn,price_sp500
10/17/2017,50.46,2559.36
10/18/2017,49.85,2561.26
10/19/2017,49.33,2562.1
10/20/2017,49.15,2575.21
10/23/2017,48.31,2564.98
10/24/2017,48.8,2569.13
10/25/2017,48.65,2557.15
10/26/2017,48.62,2560.4
10/27/2017,55.05,2581.07
10/30/2017,55.54,2572.83
10/31/2017,55.26,2575.26
11/01/2017,55.18,2579.36
11/02/2017,54.71,2579.85
11/03/2017,55.58,2587.84
11/06/2017,56.03,2591.13
11/07/2017,56.16,2590.64
11/08/2017,56.64,2594.38
11/09/2017,56.46,2584.62
11/10/2017,56.27,2582.3
11/13/2017,56.46,2584.84
11/14/2017,56.84,2578.87
11/15/2017,56.33,2564.62
11/16/2017,56.86,2585.64
11/17/2017,56.49,2578.85
11/20/2017,56.32,2582.14
11/21/2017,56.97,2599.03
11/22/2017,57.81,2597.08
11/24/2017,59.3,2602.42
11/27/2017,59.79,2601.42
11/28/2017,59.68,2627.04
11/29/2017,58.06,2626.07
11/30/2017,58.84,2647.58
12/01/2017,58.12,2642.22
12/04/2017,56.7,2639.44
12/05/2017,57.08,2629.57
12/06/2017,57.62,2629.27
12/07/2017,57.99,2636.98
12/08/2017,58.1,2651.5
12/11/2017,58.45,2659.99
12/12/2017,58.25,2664.11
12/13/2017,58.21,2662.85
12/14/2017,58.71,2652.01
12/15/2017,58.96,2675.81
12/18/2017,59.53,2690.16
12/19/2017,59.37,2681.47
12/20/2017,58.88,2679.25
12/21/2017,58.74,2684.57
12/22/2017,58.42,2683.34
12/26/2017,58.84,2680.5
12/27/2017,59.11,2682.62
12/28/2017,59.3,2687.54
12/29/2017,58.47,2673.61
01/02/2018,59.45,2695.81
01/03/2018,60.21,2713.06
01/04/2018,60.48,2723.99
01/05/2018,61.46,2743.15
01/08/2018,62.34,2747.71
01/09/2018,62.63,2751.29
01/10/2018,62.72,2748.23
01/11/2018,63.83,2767.56
01/12/2018,65.26,2786.24
01/16/2018,65.24,2776.42
01/17/2018,64.75,2802.56
01/18/2018,64.67,2798.03
01/19/2018,64.73,2810.3
01/22/2018,66.37,2832.97
01/23/2018,68.13,2839.13
01/24/2018,67.88,2837.54
01/25/2018,68.9,2839.25
01/26/2018,70.1,2872.87
01/29/2018,70.88,2853.53
01/30/2018,71.89,2822.43
01/31/2018,72.54,2823.81
02/01/2018,69.5,2821.98
02/02/2018,71.5,2762.13
02/05/2018,69.5,2648.94
02/06/2018,72.14,2695.14
02/07/2018,70.84,2681.66
02/08/2018,67.53,2581
02/09/2018,66.98,2619.55
02/12/2018,69.31,2656
02/13/2018,70.73,2662.94
02/14/2018,72.55,2698.63
02/15/2018,73.09,2731.2
02/16/2018,72.43,2732.22
02/20/2018,73.42,2716.26
02/21/2018,74.15,2701.33
02/22/2018,74.27,2703.96
02/23/2018,75,2747.3
02/26/2018,76.1,2779.6
02/27/2018,75.6,2744.28
02/28/2018,75.62,2713.83
03/01/2018,74.67,2677.67
03/02/2018,75.01,2691.25
03/05/2018,76.18,2720.94
03/06/2018,76.88,2728.12
03/07/2018,77.25,2726.8
03/08/2018,77.59,2738.97
03/09/2018,78.94,2786.57
03/12/2018,79.92,2783.02
03/13/2018,79.41,2765.31
03/14/2018,79.55,2749.48
03/15/2018,79.12,2747.33
03/16/2018,78.58,2752.01
03/19/2018,77.25,2712.92
03/20/2018,79.33,2716.94
03/21/2018,79.09,2711.93
03/22/2018,77.25,2643.69
03/23/2018,74.78,2588.26
03/26/2018,77.79,2658.55
03/27/2018,74.85,2612.62
03/28/2018,71.57,2605
03/29/2018,72.37,2640.87
04/02/2018,68.6,2581.88
04/03/2018,69.6,2614.45
04/04/2018,70.53,2644.69
04/05/2018,72.59,2662.84
04/06/2018,70.26,2604.47
04/09/2018,70.3,2613.16
04/10/2018,71.81,2656.87
04/11/2018,71.35,2642.19
04/12/2018,72.42,2663.99
04/13/2018,71.54,2656.3
04/16/2018,72.08,2677.84
04/17/2018,75.19,2706.39
04/18/2018,76.39,2708.64
04/19/2018,77.85,2693.13
04/20/2018,76.37,2670.14
04/23/2018,75.89,2670.29
04/24/2018,73,2634.56
04/25/2018,73.01,2639.4
04/26/2018,75.9,2666.94
04/27/2018,78.63,2669.91
04/30/2018,78.31,2648.05
05/01/2018,79.11,2654.8
05/02/2018,78.48,2635.67
05/03/2018,78.6,2629.73
05/04/2018,79.05,2663.42
05/07/2018,80.01,2672.63
05/08/2018,79.62,2671.92
05/09/2018,80.4,2697.79
05/10/2018,80.45,2723.07
05/11/2018,80.15,2727.72
05/14/2018,80.08,2730.13
05/15/2018,78.81,2711.45
05/16/2018,79.36,2722.46
05/17/2018,79.09,2720.13
05/18/2018,78.72,2712.97
05/21/2018,79.27,2733.01
05/22/2018,79.07,2724.44
05/23/2018,80.09,2733.29
05/24/2018,80.15,2727.76
05/25/2018,80.51,2721.33
05/29/2018,80.64,2689.86
05/30/2018,81.24,2724.01
05/31/2018,81.48,2705.27
06/01/2018,82.08,2734.62
06/04/2018,83.26,2746.87
06/05/2018,84.82,2748.8
06/06/2018,84.79,2772.35
06/07/2018,84.47,2770.37
06/08/2018,84.2,2779.03
06/11/2018,84.46,2782
06/12/2018,84.94,2786.85
06/13/2018,85.24,2775.63
06/14/2018,86.19,2782.49
06/15/2018,85.8,2779.66
06/18/2018,86.19,2773.75
06/19/2018,86.74,2762.59
06/20/2018,87.5,2767.32
06/21/2018,86.51,2749.76
06/22/2018,85.78,2754.88
06/25/2018,83.16,2717.07
06/26/2018,84.55,2723.06
06/27/2018,83.03,2699.63
06/28/2018,85.07,2716.31
06/29/2018,84.99,2718.37
07/02/2018,85.69,2726.71
07/03/2018,84.7,2713.22
07/05/2018,84.99,2736.61
07/06/2018,85.53,2759.82
07/09/2018,86.95,2784.17
07/10/2018,87.15,2793.84
07/11/2018,87.75,2774.02
07/12/2018,89.83,2798.29
07/13/2018,90.65,2801.31
07/16/2018,91.12,2798.43
07/17/2018,92.2,2809.55
07/18/2018,92.15,2815.62
07/19/2018,90.65,2804.49
07/20/2018,90.69,2801.83
07/23/2018,90.1,2806.98
07/24/2018,91.46,2820.4
07/25/2018,93.18,2846.07
07/26/2018,90.4,2837.44
07/27/2018,90.86,2818.82
07/30/2018,88.96,2802.6
07/31/2018,88.87,2816.29
08/01/2018,89.86,2813.36
08/02/2018,91.72,2827.22
08/03/2018,91.16,2840.35
08/06/2018,92.39,2850.4
08/07/2018,93.12,2858.45
08/08/2018,94.33,2857.7
08/09/2018,94.93,2853.58
08/10/2018,94.31,2833.28
08/13/2018,94.81,2821.93
08/14/2018,95.98,2839.96
08/15/2018,94.13,2818.37
08/16/2018,94.33,2840.69
08/17/2018,94.11,2850.13
08/20/2018,93.84,2857.05
08/21/2018,94.17,2862.96
08/22/2018,95.25,2861.82
