Date_Time,JP_Morgan,Aflac,American_International_Group,Caterpillar,3M,Exxon,American_Express,Nextera,Qualcomm,Broadcom,Cisco,Square,Apple,Facebook,Deutsche_Boerse,Nasdaq_Inc
12/6/2022,131.59,71.09,61.69,228.29,124.58,103.88,154.70,85.18,119.78,525.82,48.59,61.30,142.91,114.12,174.15,67.01
12/7/2022,131.50,71.20,62.03,228.98,126.35,103.65,154.77,85.29,118.21,518.50,48.18,61.07,140.94,113.93,173.40,64.84
12/8/2022,132.88,70.32,62.26,230.92,126.00,104.42,154.12,85.76,121.75,531.08,48.99,63.37,142.65,115.33,173.10,64.19
12/9/2022,132.16,69.96,62.51,227.29,125.76,103.54,153.90,84.51,119.05,544.72,48.46,64.60,142.16,115.90,173.90,63.20
12/12/2022,134.21,70.82,63.51,233.06,126.85,106.09,157.31,86.55,121.21,556.63,49.30,66.20,144.49,114.71,172.50,64.68
12/13/2022,134.08,70.67,63.56,235.49,127.29,107.25,157.52,87.15,123.49,571.04,49.64,71.03,145.47,120.15,175.90,64.99
12/14/2022,133.41,70.39,62.66,234.48,126.09,106.46,154.11,87.05,121.71,574.44,49.30,71.25,143.21,121.59,178.30,63.59
12/15/2022,130.10,69.33,62.21,230.66,122.38,105.44,150.22,85.81,116.64,558.00,48.15,65.89,136.50,116.15,178.60,61.74
12/16/2022,129.29,69.02,62.57,232.72,121.69,104.70,146.30,84.14,114.53,555.91,47.81,62.51,134.51,119.43,174.60,60.62
12/19/2022,130.06,68.92,61.47,232.29,122.13,105.17,145.01,83.52,112.61,549.63,47.40,60.44,132.37,114.48,173.40,60.46
12/20/2022,130.69,70.66,62.80,235.14,120.81,106.69,145.70,83.52,112.10,544.02,47.37,61.41,132.30,117.09,172.75,60.12
12/21/2022,132.16,71.46,63.33,241.73,123.46,108.06,147.10,84.65,114.59,561.23,47.66,62.58,135.45,119.76,171.90,61.51
12/22/2022,130.66,70.91,62.40,237.54,121.59,105.88,145.31,83.34,110.68,553.09,47.32,60.59,132.23,117.12,172.15,61.06
12/23/2022,131.28,71.75,63.16,239.87,120.14,108.68,147.02,84.17,110.84,552.43,47.48,60.89,131.86,118.04,168.45,61.28
